CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CabinNumber,NumInGroup,GroupSize,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
0,0.7119453650967104,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,-0.49116145689544116,-0.6487347223401672,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
0,-0.33403748485524115,0,-0.16807343153112558,-0.27538656847021764,-0.2417707085098513,0.21715824908070328,-0.2242046757208368,-1.1772379585166082,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,2.0368569750358487,1,-0.26800059707635127,1.9599976497107467,-0.2835786325139853,5.695622892929779,-0.21979574252259557,-1.1772379585166082,-0.49116145689544116,-0.022268276961021034,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
0,0.29355222511592977,0,-0.33310465947702855,0.523009701213704,0.33685095970736284,2.687176366158295,-0.09281846641324847,-1.1772379585166082,0.4574425299501643,-0.022268276961021034,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
0,-0.8918950048296153,0,0.12565187325332555,-0.2371588035952418,-0.031058771529016094,0.23137418068978294,-0.26123971458606304,-1.1752640483094472,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,1.0606063150806941,0,-0.33310465947702855,0.021661965148447117,-0.2835786325139853,-0.012073648115706317,-0.26300328786535954,-1.1772379585166082,-0.49116145689544116,-0.6487347223401672,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,-0.19457310486164758,0,-0.2695146450391577,0.6834409767545863,-0.2785616816334892,-0.2706259042558427,-0.26300328786535954,-1.1732901381022862,-0.49116145689544116,-0.022268276961021034,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,-0.05510872486805407,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,0.4574425299501643,-0.022268276961021034,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,0.4330166051095233,0,-0.33310465947702855,0.21092073551308163,-0.2551492441911742,-0.07871082753326725,-0.26300328786535954,-1.1713162278951255,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,-1.0313593848232088,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1752640483094472,-0.49116145689544116,0.604198168418125,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1,0.3632844151127265,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1752640483094472,0.4574425299501643,0.604198168418125,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
0,1.130338505077491,0,-0.27405678892757707,4.29063793774411,0.7014160570234111,-0.17289137444342004,-0.1536617445489773,-1.1752640483094472,1.4060465167957699,0.604198168418125,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
0,0.22382003511913298,0,-0.22257915819215776,-0.2810267305009518,1.5944333137517128,-0.2706259042558427,-0.16336139758510798,-1.1752640483094472,-0.49116145689544116,-0.6487347223401672,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
0,1.3395350750678812,0,0.7554958257808085,-0.2804000458308702,-0.17487803010323696,-0.2706259042558427,-0.24184040851380167,-1.1752640483094472,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,-0.05510872486805407,0,-0.32099227577457695,0.3293641381584986,-0.26351082899200096,-0.2688489128047078,-0.25683078138782184,-1.1732901381022862,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0,0.15408784512233623,0,-0.2846551246672222,-0.2810267305009518,1.181371024590869,-0.2706259042558427,-0.26300328786535954,-0.33437830005890234,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,-0.12484091486485083,0,1.6139610206920652,-0.2045712007510001,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1713162278951255,-0.49116145689544116,-0.6487347223401672,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False
0,-0.33403748485524115,0,-0.33310465947702855,-0.2804000458308702,-0.2835786325139853,-0.2706259042558427,0.2986948015905718,-1.1693423176879645,-0.49116145689544116,-0.6487347223401672,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,1.130338505077491,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1673684074808035,-0.49116145689544116,-0.6487347223401672,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
0,-2.0076100447783634,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,-0.49116145689544116,-0.022268276961021034,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
0,-1.0313593848232088,0,0.2906831011992285,-0.2810267305009518,-0.2819063155538199,-0.2706259042558427,0.33572984045579807,-1.1653944972736427,0.4574425299501643,-0.022268276961021034,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,-1.9378778547815667,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,-0.49116145689544116,2.483597504555563,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,1.409267265064678,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,0.4574425299501643,2.483597504555563,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0.014623465128742697,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,1.4060465167957699,2.483597504555563,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,-1.3102881448103958,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,2.3546505036413756,2.483597504555563,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,-1.9378778547815667,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,3.303254490486981,2.483597504555563,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,-1.5194847148007862,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,4.251858477332586,2.483597504555563,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0,-0.5432340548456314,0,1.1506623440732917,-0.27977336116078866,-0.1681887622625755,-0.2706259042558427,-0.26300328786535954,-1.1772379585166082,-0.49116145689544116,-0.6487347223401672,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
1,2.3157857350230358,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1732901381022862,-0.49116145689544116,-0.6487347223401672,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
0,-0.961627194826412,0,-0.33310465947702855,-0.14002267973259824,-0.2835786325139853,0.6160928298605014,-0.26300328786535954,-1.1653944972736427,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,0.3632844151127265,0,-0.2997956042952867,3.5248292709044304,-0.2835786325139853,1.007030949110192,0.026222729939264455,-1.1772379585166082,-0.49116145689544116,-0.6487347223401672,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,0.9908741250838974,0,1.370199298680227,-0.2810267305009518,-0.05614352593149648,-0.22797810942860372,-0.26300328786535954,-1.1614466768593208,-0.49116145689544116,-0.6487347223401672,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
0,0.22382003511913298,0,-0.33310465947702855,0.2516552390683838,-0.14812095874059122,0.11764672781714562,0.13644605989529493,-1.1693423176879645,-0.49116145689544116,-0.6487347223401672,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,1.2698028850710845,0,-0.009098395436448421,-0.2810267305009518,2.076060598279336,-0.2706259042558427,0.8207124922623321,-1.15947276665216,-0.49116145689544116,0.604198168418125,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
0,-1.8681456647847698,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.15947276665216,0.4574425299501643,0.604198168418125,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
0,-0.6129662448424282,0,-0.33310465947702855,-0.2810267305009518,2.6429760477753925,0.6089848640559615,-0.26300328786535954,-1.15947276665216,1.4060465167957699,0.604198168418125,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
1,-0.05510872486805407,0,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,-1.1752640483094472,-0.49116145689544116,-0.6487347223401672,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,-0.4037696748520379,0,0.8539089433632278,0.32309729145768284,-0.2835786325139853,0.5743335307588299,-0.26300328786535954,-1.1752640483094472,-0.49116145689544116,-0.6487347223401672,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
0,-0.961627194826412,0,-0.33310465947702855,0.027302127179181256,-0.20330741842604805,-0.25285598974449314,0.09059315463358625,-1.1614466768593208,-0.49116145689544116,-0.6487347223401672,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
0,-0.6129662448424282,0,0.5056779119177444,-0.15882321983504538,-0.2835786325139853,2.0447939565730078,-0.26300328786535954,-1.157498856444999,-0.49116145689544116,-0.6487347223401672,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
